Metal,Ebulk,Ebind,Ebind/Ebulk,Ea
Cu,4.09,4.261,1.041809291,2.54
Cu,4.09,2.5,0.611246944,0.83
Cu,4.09,0.642,0.156968215,0.01135
Cu,4.09,1.27,0.310513447,0.36
Cu,4.09,1.78,0.435207824,0.3
Cu,4.09,3.15,0.770171149,1.42985
Cu,4.09,4.31,1.053789731,3.18
Ag,2.96,2.64,0.891891892,1.21
Ag,2.96,1.7,0.574324324,0.61
Ag,2.96,0.483,0.163175676,4.25E-04
Ag,2.96,0.75,0.253378378,0.11
Ag,2.96,0.91,0.307432432,0.14
Ag,2.96,1.78,0.601351351,0.81396
Ag,2.96,2.8,0.945945946,1.37
Au,3.58,3.28,0.916201117,2.09
Au,3.58,1.45,0.405027933,0.26
Au,3.58,0.571,0.159497207,0.01391
Au,3.58,1.23,0.343575419,0.23
Au,3.58,1.05,0.293296089,0.2
Au,3.58,1.22,0.340782123,0.16
Au,3.58,3.45,0.963687151,2.31
Ni,5.36,5.57,1.039179104,3.34
Ni,5.36,3.94,0.735074627,1.32
Ni,5.36,2.06,0.384328358,0.1281
Ni,5.36,2.39,0.445895522,0.75
Ni,5.36,5.49,1.024253731,3.36
Pd,4.39,3.61,0.822323462,1.59
Pd,4.39,2.08,0.4738041,0.14
Pd,4.39,1.53991,0.350776765,0.05
Pd,4.39,1.82,0.414578588,0.44
Pd,4.39,2.68,0.61047836,0.45
Pd,4.39,3.21,0.731207289,1.17726
Pd,4.39,3.7,0.842824601,1.67
Pt,6.4,2.94,0.459375,0.85469
Pt,6.4,3.21,0.5015625,0.54
Pt,6.4,2.1,0.328125,0.12
Pt,6.4,2.93,0.4578125,1.03
Pt,6.4,3.52,0.55,0.68
Pt,6.4,4.91,0.7671875,2.25362
Pt,6.4,5.54,0.865625,2.96
Co,5.3,5.43,1.024528302,3.47
Co,5.3,4.32,0.81509434,1.9
Co,5.3,1.264,0.238490566,0.06
Co,5.3,1.37,0.258490566,0.24
Co,5.3,3.07,0.579245283,0.66
Co,5.3,5,0.943396226,2.93
Co,5.3,5.21,0.983018868,3.24
Rh,6.23,4.73,0.759229535,1.92
Rh,6.23,3.58,0.574638844,1.18
Rh,6.23,1.871,0.300321027,0.0921
Rh,6.23,1.88,0.30176565,0.27
Rh,6.23,3.52,0.565008026,0.73
Rh,6.23,5.261,0.844462279,2.41337
Rh,6.23,5.03,0.807383628,2.46
Ir,8.44,6.83,0.809241706,3.41
Ir,8.44,4.87,0.577014218,1.6
Ir,8.44,2.151,0.25485782,0.09
Ir,8.44,2.83,0.335308057,0.63
Ir,8.44,4.22,0.5,0.75
Ir,8.44,6.63,0.785545024,3.1
Ir,8.44,6.85,0.811611374,3.64
