,LASSO,LASSO,Elastic Net,Elastic Net,Ridge,Ridge,OLS,OLS
0,1.2402987354647932,-0.2222214298278955,1.2337275151734908,-0.28488891001650973,1.2456437326430572,-0.21687643264963152,1.248477392811406,-2.469298970613228
1,-0.01920736461436942,-0.011938596289012351,-0.02511741830631419,-0.015612069797279584,-0.07699318230608031,-0.047856149920273636,1.2287314826747546,0.7637346098110225
2,-0.0,-0.0,0.0,0.0,-0.03287726087722064,-0.019807692305791415,-3.862254691612922,-2.326907731874754
3,-0.0,-0.0,-0.0,-0.0,-0.16963926888294026,-0.6371074888961838,1.5403092069643343,5.784878332916512
4,0.049638388740359876,0.03849131259519107,0.07770882892924584,0.06025809663901962,0.23376759987625254,0.1812714310395876,0.5450918470816754,0.42268295187533805
5,-0.0,-0.0,-0.04509970661638275,-0.0024560660124245087,-0.0022721697222112362,-0.0001237391381866743,-0.5128935978314305,-0.027931457389266192
6,-0.0,-0.0,0.0,0.0,-0.03440689714792886,-0.002576941343317924,1.5507068446994305,0.11614184685969557
7,0.0,0.0,0.04240157751326214,0.006651368836510436,0.04245861965808334,0.006660316813606637,-0.4484710586975099,-0.07034989259454957
8,0.20700793078624544,0.01747528782019951,0.3703960882984118,0.03126826216708824,0.41040297115620017,0.03464558104600005,-0.7478898064155372,-0.06313569521353435
9,0.7216188026874403,0.40714771071479167,0.5220173336336633,0.2945296901228941,0.6160836247610959,0.34760324494897854,3.592081404311302,2.026704009124866
10,0.24790603522641025,0.7473454100999908,0.3490637314753099,1.0522986151272895,0.4650344734424771,1.4019076984071608,-1.0746848283151644,-3.2397790276138925
11,0.0,0.0,-0.033793955268559744,-0.003939399433912161,-0.20561032428709886,-0.02396822711831723,-0.20068222018634488,-0.02339375247187559
